symbol,entry_time,exit_time,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason,strategy,risk_pct,sl_pct,tp_pct,timeframe,hold_time_minutes
PLUG,2024-12-16 14:57:00+00:00,2024-12-16 15:29:00+00:00,2.45,2.4010000000000002,2033,-99.61699999999986,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,32.0
PLUG,2024-12-19 15:31:00+00:00,2024-12-19 16:31:00+00:00,2.215,2.2703749999999996,2246,124.3722499999994,2.499999999999991,take_profit,GapAndGo,5.0,2.0,2.5,1m,60.0
PLUG,2025-01-02 14:45:00+00:00,2025-01-02 15:57:00+00:00,2.33,2.3882499999999998,2138,124.53849999999935,2.499999999999991,take_profit,GapAndGo,5.0,2.0,2.5,1m,72.0
PLUG,2025-01-03 15:33:00+00:00,2025-01-03 15:38:00+00:00,2.345,2.403625,2127,124.69537499999937,2.499999999999991,take_profit,GapAndGo,5.0,2.0,2.5,1m,5.0
PLUG,2025-01-06 15:14:00+00:00,2025-01-06 15:22:00+00:00,2.9,2.842,1722,-99.8759999999997,-1.9999999999999907,stop_loss,GapAndGo,5.0,2.0,2.5,1m,8.0
PLUG,2025-01-08 14:43:00+00:00,2025-01-08 14:50:00+00:00,2.8,2.7439999999999998,1782,-99.79200000000009,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,7.0
PLUG,2025-01-13 15:31:00+00:00,2025-01-13 15:42:00+00:00,2.68,2.747,1860,124.6199999999995,2.499999999999991,take_profit,GapAndGo,5.0,2.0,2.5,1m,11.0
PLUG,2025-01-15 15:35:00+00:00,2025-01-15 15:56:00+00:00,2.82,2.7636,1769,-99.7716,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,21.0
PLUG,2025-01-17 15:32:00+00:00,2025-01-17 19:53:00+00:00,2.53,2.4793999999999996,1970,-99.6820000000004,-2.000000000000013,stop_loss,GapAndGo,5.0,2.0,2.5,1m,261.0
PLUG,2025-01-24 15:35:00+00:00,2025-01-24 18:11:00+00:00,2.165,2.1217,2300,-99.58999999999976,-1.9999999999999907,stop_loss,GapAndGo,5.0,2.0,2.5,1m,156.0
PLUG,2025-01-27 15:32:00+00:00,2025-01-27 16:01:00+00:00,1.995,1.9551,2494,-99.51060000000011,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,29.0
PLUG,2025-01-29 15:30:00+00:00,2025-01-29 16:31:00+00:00,1.885,1.8473,2637,-99.41490000000017,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,61.0
PLUG,2025-02-06 15:32:00+00:00,2025-02-07 15:50:00+00:00,1.895,1.8571,2620,-99.29800000000012,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,1458.0
PLUG,2025-02-10 15:30:00+00:00,2025-02-10 15:48:00+00:00,1.795,1.7590999999999999,2763,-99.19170000000013,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,18.0
PLUG,2025-02-12 15:20:00+00:00,2025-02-12 15:38:00+00:00,1.67,1.6365999999999998,2967,-99.09780000000029,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,18.0
PLUG,2025-02-13 15:35:00+00:00,2025-02-13 18:46:00+00:00,1.7,1.7424999999999997,2912,123.75999999999931,2.499999999999991,take_profit,GapAndGo,5.0,2.0,2.5,1m,191.0
PLUG,2025-03-12 14:35:00+00:00,2025-03-13 13:36:00+00:00,1.67,1.7117499999999999,2968,123.91399999999986,2.499999999999991,take_profit,GapAndGo,5.0,2.0,2.5,1m,1381.0
PLUG,2025-03-19 14:32:00+00:00,2025-03-19 15:01:00+00:00,1.66,1.6267999999999998,2990,-99.26800000000036,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,29.0
PLUG,2025-04-08 14:34:00+00:00,2025-04-08 14:55:00+00:00,1.205,1.1809,4115,-99.17150000000004,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,21.0
PLUG,2025-04-10 14:34:00+00:00,2025-04-10 15:27:00+00:00,1.13,1.1074,4383,-99.05579999999979,-1.9999999999999907,stop_loss,GapAndGo,5.0,2.0,2.5,1m,53.0
PLUG,2025-04-15 14:32:00+00:00,2025-04-15 16:39:00+00:00,1.035,1.0143,4781,-98.96669999999972,-1.9999999999999907,stop_loss,GapAndGo,5.0,2.0,2.5,1m,127.0
PLUG,2025-04-17 14:34:00+00:00,2025-04-17 15:05:00+00:00,0.932,0.9133600000000001,5304,-98.86655999999995,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,31.0
PLUG,2025-04-28 13:36:00+00:00,2025-04-28 13:37:00+00:00,1.12,1.0976000000000001,4409,-98.76159999999989,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,1.0
PLUG,2025-04-29 14:32:00+00:00,2025-04-29 14:44:00+00:00,1.025,1.0045,4813,-98.66649999999981,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,12.0
PLUG,2025-04-30 14:35:00+00:00,2025-04-30 16:02:00+00:00,0.8907,0.872886,5533,-98.56486199999998,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,87.0
PLUG,2025-05-01 14:34:00+00:00,2025-05-01 15:20:00+00:00,0.886,0.9081499999999999,5557,123.0875499999994,2.499999999999991,take_profit,GapAndGo,5.0,2.0,2.5,1m,46.0
PLUG,2025-05-06 14:35:00+00:00,2025-05-06 17:03:00+00:00,0.798,0.7820400000000001,6178,-98.60087999999985,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,148.0
PLUG,2025-05-12 14:34:00+00:00,2025-05-12 14:58:00+00:00,0.8875,0.8697499999999999,5549,-98.49475000000024,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,24.0
PLUG,2025-05-29 13:52:00+00:00,2025-05-29 13:58:00+00:00,0.966,0.9901499999999999,5093,122.99594999999945,2.499999999999991,take_profit,GapAndGo,5.0,2.0,2.5,1m,6.0
PLUG,2025-06-10 13:39:00+00:00,2025-06-10 13:42:00+00:00,1.51,1.4798,3262,-98.51240000000001,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,3.0
PLUG,2025-06-11 14:30:00+00:00,2025-06-11 14:38:00+00:00,1.31,1.2838,3756,-98.4072,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,8.0
PLUG,2025-06-12 13:38:00+00:00,2025-06-12 13:50:00+00:00,1.42,1.4554999999999998,3462,122.90099999999953,2.499999999999991,take_profit,GapAndGo,5.0,2.0,2.5,1m,12.0
PLUG,2025-06-13 14:32:00+00:00,2025-06-13 14:48:00+00:00,1.29,1.2642,3816,-98.45280000000017,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,16.0
PLUG,2025-06-16 14:33:00+00:00,2025-06-16 17:20:00+00:00,1.33,1.3632499999999999,3697,122.92524999999918,2.499999999999991,take_profit,GapAndGo,5.0,2.0,2.5,1m,167.0
PLUG,2025-06-17 14:32:00+00:00,2025-06-17 17:49:00+00:00,1.185,1.1613,4155,-98.47350000000023,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,197.0
PLUG,2025-06-24 14:34:00+00:00,2025-06-24 15:41:00+00:00,1.125,1.1025,4372,-98.36999999999985,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,67.0
PLUG,2025-06-30 13:37:00+00:00,2025-06-30 13:38:00+00:00,1.39,1.3621999999999999,3535,-98.27300000000017,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,1.0
PLUG,2025-07-01 14:30:00+00:00,2025-07-01 14:51:00+00:00,1.38,1.3523999999999998,3557,-98.17320000000025,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,21.0
PLUG,2025-07-03 13:36:00+00:00,2025-07-03 13:38:00+00:00,1.47,1.5067499999999998,3336,122.59799999999946,2.499999999999991,take_profit,GapAndGo,5.0,2.0,2.5,1m,2.0
PLUG,2025-07-07 14:31:00+00:00,2025-07-07 16:20:00+00:00,1.4,1.3719999999999999,3507,-98.19600000000008,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,109.0
PLUG,2025-07-09 13:33:00+00:00,2025-07-09 13:47:00+00:00,1.515,1.5528749999999998,3238,122.63924999999962,2.499999999999991,take_profit,GapAndGo,5.0,2.0,2.5,1m,14.0
PLUG,2025-07-10 14:34:00+00:00,2025-07-10 16:51:00+00:00,1.75,1.7149999999999999,2806,-98.2100000000004,-2.000000000000013,stop_loss,GapAndGo,5.0,2.0,2.5,1m,137.0
